,label,lag,mae,rmse,model_path
48,"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.327463066009962,1.5422568297949888,models_prophet/openings/prophet_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
49,"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.31415042291032,1.5307527002401093,models_prophet/openings/prophet_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
50,"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.3255641847341584,1.5405960441936384,models_prophet/openings/prophet_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
51,"Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.325861708721668,1.5408520764204248,models_prophet/openings/prophet_Job_Openings_Mining_and_logging__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
52,"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,2.096285463549344,2.12582886294377,models_prophet/openings/prophet_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
53,"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,2.0965200457674142,2.126061907619973,models_prophet/openings/prophet_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
54,"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,2.097629111158638,2.1271416140844326,models_prophet/openings/prophet_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
55,"Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,2.0737266226365985,2.1036664002134393,models_prophet/openings/prophet_Job_Openings_Nondurable_goods_manufacturing__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
56,"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,1.6818788721136766,1.7399491666353133,models_prophet/openings/prophet_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
57,"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",1,1.680566465942834,1.7386772388162046,models_prophet/openings/prophet_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag1.pkl
58,"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",2,1.7044089739227573,1.7617909870710453,models_prophet/openings/prophet_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag2.pkl
59,"Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",3,1.7040335313777006,1.7614395862639969,models_prophet/openings/prophet_Job_Openings_Other_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag3.pkl
60,"Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)",0,2.0487899750110885,2.1223848175927063,models_prophet/openings/prophet_Job_Openings_Private_education_and_health_services__Rate_in_Percent_Monthly_Seasonally_Adjusted_(All_size_classes)_lag0.pkl
