Hires: Total nonfarm in Midwest region,Other separations: Total nonfarm in Midwest region,Hires: Total nonfarm in Northeast region,Job Openings: Total nonfarm in Northeast region,Layoffs and Discharges: Total nonfarm in Northeast region,Other separations: Total nonfarm in Northeast region,Quits: Total nonfarm in Northeast region,Other separations: Total nonfarm in South region,Hires: Total nonfarm in West region,Other separations: Total nonfarm in West region
1389.0,66.0,1052.0,1927.0,234.0,48.0,632.0,135.0,1623.0,66.0
1536.0,67.0,1142.0,1903.0,187.0,44.0,575.0,122.0,1551.0,84.0
1657.0,70.0,1182.0,1814.0,276.0,47.0,587.0,193.0,1609.0,95.0
1457.0,53.0,1100.0,1957.0,219.0,60.0,668.0,129.0,1554.0,141.0
1483.0,92.0,911.0,1619.0,274.0,68.0,781.0,174.0,1724.0,92.0
1279.0,62.0,940.0,1705.0,324.0,50.0,614.0,110.0,1418.0,74.0
1307.0,65.0,908.0,1818.0,237.0,29.0,526.0,81.0,1595.0,68.0
1211.0,47.0,795.0,1637.0,212.0,42.0,457.0,93.0,1276.0,83.0
1001.0,69.0,629.0,1593.0,328.0,64.0,455.0,120.0,954.0,98.0
1245.0,58.0,847.0,1652.0,430.0,61.0,498.0,134.0,1456.0,79.0
1044.0,50.0,692.0,1598.0,177.0,29.0,386.0,123.0,1153.0,60.0
1137.0,38.0,868.0,1544.0,228.0,33.0,445.0,95.0,1154.0,86.0
1275.0,65.0,1066.0,1649.0,219.0,46.0,521.0,121.0,1252.0,68.0
1532.0,66.0,1054.0,1433.0,170.0,51.0,529.0,112.0,1368.0,60.0
1460.0,92.0,1066.0,1444.0,291.0,101.0,494.0,128.0,1474.0,55.0
1239.0,103.0,967.0,1583.0,275.0,45.0,571.0,139.0,1406.0,87.0
1336.0,57.0,936.0,1507.0,293.0,91.0,535.0,166.0,1317.0,84.0
1109.0,59.0,956.0,1539.0,281.0,62.0,538.0,99.0,1223.0,97.0
1264.0,41.0,893.0,1530.0,397.0,61.0,514.0,151.0,1425.0,54.0
1057.0,50.0,767.0,1348.0,264.0,80.0,445.0,101.0,1039.0,68.0
839.0,75.0,602.0,1398.0,418.0,84.0,405.0,110.0,836.0,72.0
1093.0,131.0,802.0,1494.0,377.0,73.0,456.0,162.0,1241.0,73.0
936.0,57.0,655.0,1422.0,219.0,64.0,360.0,92.0,1017.0,83.0
1035.0,72.0,812.0,1486.0,215.0,46.0,446.0,106.0,1101.0,76.0
1251.0,67.0,853.0,1365.0,255.0,49.0,509.0,140.0,1333.0,123.0
1485.0,74.0,965.0,1439.0,239.0,45.0,511.0,105.0,1311.0,52.0
1362.0,53.0,1037.0,1343.0,290.0,69.0,507.0,131.0,1246.0,98.0
1273.0,84.0,1060.0,1401.0,358.0,58.0,522.0,123.0,1432.0,86.0
1174.0,73.0,913.0,1360.0,318.0,59.0,636.0,129.0,1251.0,75.0
1137.0,54.0,897.0,1350.0,407.0,42.0,531.0,101.0,1247.0,60.0
1198.0,43.0,864.0,1246.0,232.0,50.0,436.0,105.0,1262.0,53.0
1093.0,48.0,755.0,1202.0,306.0,63.0,318.0,109.0,1107.0,54.0
868.0,73.0,556.0,1246.0,361.0,71.0,336.0,111.0,950.0,78.0
1066.0,64.0,761.0,1388.0,360.0,67.0,457.0,136.0,1191.0,122.0
917.0,34.0,652.0,1410.0,264.0,33.0,361.0,106.0,1013.0,67.0
1125.0,53.0,829.0,1270.0,167.0,50.0,429.0,66.0,1060.0,52.0
1336.0,63.0,910.0,1455.0,292.0,39.0,511.0,112.0,1398.0,84.0
1417.0,64.0,1063.0,1467.0,241.0,38.0,488.0,139.0,1480.0,81.0
1317.0,79.0,1053.0,1326.0,282.0,86.0,505.0,126.0,1371.0,110.0
1230.0,70.0,912.0,1353.0,358.0,66.0,514.0,70.0,1407.0,106.0
